Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
2007,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,4,5,361,832,1,Super Mario Bros. 3
1994,2.49,0.98,1.57,0.15,5.19,71,22,7.5,24,5,4,361,1558,8,Professor Layton and the Curious Village
2012,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,28,0,139,469,1,Super Mario Land 3: Wario Land
1995,2.1,0.74,2.2,0.11,5.15,71,22,7.5,24,23,4,361,1558,8,FIFA Soccer 13
2012,2.44,2.16,0,0.54,5.14,88,86,4,9629,13,7,21,214,5,Donkey Kong Country 2: Diddy's Kong Quest
2003,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,16,8,139,434,7,Diablo III
1992,2.71,0.61,1.7,0.11,5.13,71,22,7.5,24,5,4,361,1558,8,Medal of Honor: Rising Sun
1996,3.22,1.69,0,0.2,5.12,71,22,7.5,24,13,9,325,1558,8,Kirby's Dream Land
2006,3.81,0.63,0,0.68,5.12,92,69,8.5,112,16,3,428,637,7,Microsoft Flight Simulator
2010,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,28,7,325,840,5,Guitar Hero II
2008,1.63,2.45,0.44,0.57,5.09,71,22,7.5,24,4,10,447,1558,8,Fable III
2009,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,17,0,85,264,5,Mario & Sonic at the Olympic Games
2007,1.85,1.8,0.95,0.48,5.08,90,57,8,416,4,0,361,1008,1,Resident Evil 5
1999,3.4,1.3,0.15,0.22,5.07,71,22,7.5,24,5,4,361,1558,8,The Legend of Zelda: Phantom Hourglass
2010,0.61,3.28,0.06,1.12,5.07,89,51,8,233,17,10,139,442,1,Super Mario Bros.
1996,2.05,1.16,1.11,0.73,5.05,91,8,9,266,15,0,543,264,5,FIFA Soccer 11
2006,1.7,1.99,0.16,1.18,5.03,86,50,8,150,19,0,496,1206,5,Resident Evil
1999,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,15,10,21,992,7,Grand Theft Auto: Vice City Stories
1999,2.79,1.89,0,0.33,5.01,71,22,7.5,24,15,11,138,1558,8,Tony Hawk's Pro Skater
1998,3.36,1.36,0.07,0.21,5,71,22,7.5,24,15,4,457,1558,8,Warzone 2100
2007,3.49,0.01,0.01,1.48,4.98,82,24,8.2,46,16,3,21,993,7,Spyro the Dragon
2007,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47,26,8,361,1008,7,Guitar Hero III: Legends of Rock
2007,1.83,1.19,1.54,0.37,4.93,71,22,7.5,24,4,7,361,1558,8,Link's Crossbow Training
2008,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,28,7,66,173,5,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness
2007,2.31,1.72,0.12,0.77,4.92,88,66,8.1,2306,17,0,457,978,7,Fallout 3
2005,3.98,0.26,0.01,0.66,4.91,88,29,8,121,16,10,139,442,1,Uncharted: Drake's Fortune
1997,2.91,0.99,0.89,0.1,4.88,71,22,7.5,24,10,6,361,1558,8,Madden NFL 06
2010,0,0,4.87,0,4.87,71,22,7.5,24,19,7,85,1558,8,Diddy Kong Racing
2014,2.6,1.08,0.81,0.38,4.87,71,22,7.5,24,27,2,361,1558,8,Monster Hunter Freedom 3
1990,2.62,0.6,1.52,0.1,4.85,71,22,7.5,24,11,5,361,1558,8,Super Smash Bros. for Wii U and 3DS
2010,2.57,1.68,0,0.58,4.84,93,82,8.2,3052,13,11,21,214,7,Dr. Mario
2007,1.91,2,0.09,0.82,4.82,81,40,7.3,769,17,1,527,1532,5,StarCraft II: Wings of Liberty
2010,2.74,1.33,0.12,0.61,4.8,92,101,8.7,2633,17,0,457,1230,5,Assassin's Creed
1999,2.57,1.57,0.44,0.21,4.79,88,20,9,233,15,6,457,977,1,God of War III
2007,2.83,1.48,0,0.45,4.76,80,9,5.4,46,4,0,290,1417,1,Crash Team Racing
2000,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,15,0,53,1190,7,LEGO Star Wars: The Complete Saga
2011,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1472,28,0,550,1215,7,Driver 2
2014,1.88,2,0.07,0.77,4.71,71,22,7.5,24,18,0,457,1558,8,Batman: Arkham City
2003,1.73,2.19,0,0.79,4.7,71,22,7.5,24,16,6,546,1558,8,The Last of Us
2000,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,15,10,21,992,7,The Simpsons: Hit & Run
2002,1.94,1.95,0.08,0.7,4.67,82,32,8.2,78,16,0,139,1370,7,Tony Hawk's Pro Skater 2
